img,is_face,coefficient
10.jpeg,1,0.9773
1000.jpeg,1,0.8143
10001.jpeg,1,0.9925
10002.jpeg,1,0.9925
10004.jpeg,0,0.0
10005.jpeg,1,0.9998
10009.jpeg,1,0.5885
10010.jpeg,1,0.9968
10011.jpeg,1,0.8908
10013.jpeg,1,0.9714
10015.jpeg,1,0.9979
10016.jpeg,1,0.9903
10017.jpeg,1,0.9994
10018.jpeg,1,0.9777
10020.jpeg,1,0.9866
10021.jpeg,1,0.9883
10022.jpeg,1,0.9974
10023.jpeg,1,0.9998
10024.jpeg,1,0.9973
10026.jpeg,1,0.9998
10027.jpeg,1,0.9996
10028.jpeg,1,0.9974
10029.jpeg,1,0.9656
1003.jpeg,1,0.9994
10030.jpeg,1,0.9965
10031.jpeg,1,0.9181
10032.jpeg,1,0.9997
10033.jpeg,1,0.9954
10035.jpeg,1,0.9999
10036.jpeg,1,0.9817
10037.jpeg,1,0.9965
10042.jpeg,1,0.9971
10043.jpeg,1,0.9989
10044.jpeg,1,0.9999
10045.jpeg,0,0.0
10046.jpeg,1,0.9999
10047.jpeg,1,0.9999
10048.jpeg,1,0.9810
10049.jpeg,1,0.9989
1005.jpeg,1,0.9881
10052.jpeg,1,0.9947
10053.jpeg,1,0.9988
10054.jpeg,1,0.9998
10055.jpeg,1,0.9858
10057.jpeg,1,0.9994
10059.jpeg,1,0.9994
10062.jpeg,1,0.9962
10063.jpeg,1,0.9975
10064.jpeg,1,0.9486
10065.jpeg,1,0.9938
10066.jpeg,1,0.9980
10067.jpeg,1,0.9450
10068.jpeg,1,0.9944
10069.jpeg,0,0.0
10070.jpeg,1,0.9875
10072.jpeg,1,0.9970
10073.jpeg,0,0.0
10074.jpeg,1,0.9999
10076.jpeg,1,0.9636
1008.jpeg,1,0.9866
10080.jpeg,1,0.9949
10081.jpeg,1,0.9993
10082.jpeg,1,0.9905
10083.jpeg,1,0.9996
10084.jpeg,1,0.9923
10085.jpeg,1,0.9971
10086.jpeg,1,0.9996
10087.jpeg,1,0.9996
10088.jpeg,1,0.9498
10089.jpeg,1,0.9942
1009.jpeg,1,0.5660
10091.jpeg,1,0.9955
10092.jpeg,1,0.9922
10093.jpeg,1,0.9941
10094.jpeg,1,0.9977
10096.jpeg,1,0.9713
10098.jpeg,1,0.9907
1010.jpeg,1,0.9985
10100.jpeg,1,0.9966
10101.jpeg,1,0.9995
10103.jpeg,1,0.9952
10104.jpeg,1,0.9998
10105.jpeg,1,0.9906
10106.jpeg,1,0.9997
10107.jpeg,1,0.9792
10108.jpeg,0,0.0
10109.jpeg,1,0.9980
10110.jpeg,1,0.9998
10111.jpeg,1,0.9984
10113.jpeg,0,0.0
10114.jpeg,1,0.9989
10116.jpeg,1,0.9998
10117.jpeg,1,0.9992
10118.jpeg,1,0.9835
1012.jpeg,1,0.9957
10120.jpeg,1,0.9896
10121.jpeg,1,0.9956
10122.jpeg,1,0.9854
10123.jpeg,1,0.9998
10124.jpeg,1,0.9993
10125.jpeg,1,0.9997
10126.jpeg,1,0.9979
10127.jpeg,1,0.9972
10133.jpeg,0,0.0
10134.jpeg,1,0.9986
10135.jpeg,1,0.9930
10136.jpeg,1,0.9970
10137.jpeg,1,0.9974
10138.jpeg,1,0.9995
10139.jpeg,1,0.9989
1014.jpeg,1,0.9961
10142.jpeg,1,0.9321
10143.jpeg,0,0.0
10144.jpeg,1,0.9990
10145.jpeg,1,0.9970
10146.jpeg,0,0.0
10147.jpeg,1,0.9999
10148.jpeg,1,0.9999
10149.jpeg,1,0.7869
1015.jpeg,1,0.6828
10150.jpeg,1,0.9997
10151.jpeg,1,0.8901
10153.jpeg,1,0.9999
10154.jpeg,1,0.9985
10155.jpeg,1,0.9994
10159.jpeg,1,0.9286
1016.jpeg,1,0.8060
