img,coefficient
profile pics/60147.jpeg,0.9969
profile pics/60148.jpeg,0.0
profile pics/60149.jpeg,0.0
profile pics/60150.jpeg,0.0
profile pics/60151.jpeg,0.0
profile pics/60152.jpeg,0.9999
profile pics/60153.jpeg,0.0
profile pics/60154.jpeg,0.9983
profile pics/60155.jpeg,0.9998
profile pics/60156.jpeg,0.9995
profile pics/60157.jpeg,0.9993
profile pics/60158.jpeg,0.9814
profile pics/60160.jpeg,0.9998
profile pics/60161.jpeg,0.9994
profile pics/60163.jpeg,0.0
profile pics/60164.jpeg,0.9973
profile pics/60165.jpeg,0.0
profile pics/60166.jpeg,0.9993
profile pics/60167.jpeg,0.0
profile pics/60168.jpeg,0.9916
profile pics/60169.jpeg,0.0
profile pics/60170.jpeg,0.9999
profile pics/60171.jpeg,0.9999
profile pics/60172.jpeg,0.9998
profile pics/60173.jpeg,0.0
profile pics/60174.jpeg,0.9990
profile pics/60175.jpeg,0.9996
profile pics/60176.jpeg,0.9988
profile pics/60177.jpeg,0.0
profile pics/60178.jpeg,0.9993
profile pics/60179.jpeg,0.9998
profile pics/60180.jpeg,0.9987
profile pics/60181.jpeg,0.9998
profile pics/60182.jpeg,0.9729
profile pics/60183.jpeg,0.9998
profile pics/60184.jpeg,0.9980
profile pics/60185.jpeg,0.9975
profile pics/60186.jpeg,0.9995
profile pics/60187.jpeg,0.0
profile pics/60188.jpeg,0.9995
profile pics/60189.jpeg,0.9998
profile pics/60190.jpeg,0.9970
profile pics/60191.jpeg,0.9993
profile pics/60192.jpeg,0.9998
profile pics/60193.jpeg,0.0
profile pics/60194.jpeg,0.9950
profile pics/60195.jpeg,0.0
profile pics/60196.jpeg,0.9646
profile pics/60197.jpeg,0.9998
profile pics/60198.jpeg,0.9856
profile pics/60199.jpeg,0.8939
profile pics/60201.jpeg,0.9994
profile pics/60202.jpeg,0.0
profile pics/60203.jpeg,0.9952
profile pics/60204.jpeg,0.0
profile pics/60206.jpeg,0.9994
profile pics/60207.jpeg,0.9997
profile pics/60208.jpeg,0.0
profile pics/60209.jpeg,0.9982
profile pics/60210.jpeg,0.0
profile pics/60211.jpeg,0.9944
profile pics/60212.jpeg,0.9991
profile pics/60213.jpeg,0.9981
profile pics/60214.jpeg,0.9997
profile pics/60215.jpeg,0.9966
profile pics/60216.jpeg,0.9873
profile pics/60217.jpeg,0.0
profile pics/60218.jpeg,0.9996
profile pics/60219.jpeg,0.9973
profile pics/60220.jpeg,0.9997
profile pics/60221.jpeg,0.9968
profile pics/60222.jpeg,0.9962
profile pics/60223.jpeg,0.9999
profile pics/60224.jpeg,0.9984
profile pics/60225.jpeg,0.0
profile pics/60226.jpeg,0.9392
profile pics/60227.jpeg,0.0
profile pics/60228.jpeg,0.9940
profile pics/60229.jpeg,0.9998
profile pics/60230.jpeg,0.9994
profile pics/60231.jpeg,0.0
